Index,Compound,CAS,T_half_soil_days,SOURCE,Entry,CID,INCHI,INCHIKEY,Canonical_smiles
13,"1-FLUORO-2,4-DINITROBENZENE",70-34-8,50.0,HSDB,13.0,6264,InChI=1S/C6H3FN2O4/c7-5-2-1-4(8(10)11)3-6(5)9(12)13/h1-3H,LOTKRQAVGJMPNV-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(F)c([N+](=O)[O-])c1
14,1-METHOXY-2-HYDROXYPROPANE,107-98-2|1320-67-8,1.0,HSDB,14.0,7900,"InChI=1S/C4H10O2/c1-4(5)3-6-2/h4-5H,3H2,1-2H3",ARXJGSRGQADJSQ-UHFFFAOYSA-N,COCC(C)O
15,1-NAPHTHALENEACETIC ACID,26445-01-2|86-87-3,10.0,HSDB,15.0,6862,"InChI=1S/C12H10O2/c13-12(14)8-10-6-3-5-9-4-1-2-7-11(9)10/h1-7H,8H2,(H,13,14)",PRPINYUDVPFIRX-UHFFFAOYSA-N,O=C(O)Cc1cccc2ccccc12
16,"2,2',6,6'-Tetrabromobisphenol A",79-94-7,14.7,HSDB,16.0,6618,"InChI=1S/C15H12Br4O2/c1-15(2,7-3-9(16)13(20)10(17)4-7)8-5-11(18)14(21)12(19)6-8/h3-6,20-21H,1-2H3",VEORPZCZECFIRK-UHFFFAOYSA-N,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1
17,"2,2-DIBROMO-3-NITRILOPROPIONAMIDE",10222-01-2,0.625,HSDB,17.0,25059,"InChI=1S/C3H2Br2N2O/c4-3(5,1-6)2(7)8/h(H2,7,8)",UUIVKBHZENILKB-UHFFFAOYSA-N,N#CC(Br)(Br)C(=N)O
18,"2,3,4,5-TETRACHLORONITROBENZENE",879-39-0,468.0,HSDB,18.0,13428,InChI=1S/C6HCl4NO2/c7-2-1-3(11(12)13)5(9)6(10)4(2)8/h1H,MTBYTWZDRVOMBR-UHFFFAOYSA-N,O=[N+]([O-])c1cc(Cl)c(Cl)c(Cl)c1Cl
19,"2,3-DICHLOROANILINE",27134-27-6|608-27-5,54.0,HSDB,19.0,11844,"InChI=1S/C6H5Cl2N/c7-4-2-1-3-5(9)6(4)8/h1-3H,9H2",BRPSAOUFIJSKOT-UHFFFAOYSA-N,Nc1cccc(Cl)c1Cl
20,"2,3-DICHLOROPHENOL",25167-81-1|576-24-9,28.0,HSDB,20.0,11334,"InChI=1S/C6H4Cl2O/c7-4-2-1-3-5(9)6(4)8/h1-3,9H",UMPSXRYVXUPCOS-UHFFFAOYSA-N,Oc1cccc(Cl)c1Cl
21,"2,3-DICHLOROPROPANOL",616-23-9,55.3,HSDB,21.0,12018,"InChI=1S/C3H6Cl2O/c4-1-3(5)2-6/h3,6H,1-2H2",ZXCYIJGIGSDJQQ-UHFFFAOYSA-N,OCC(Cl)CCl
22,"2,4,5-TP",7361-37-7|93-72-1,21.0,HSDB,22.0,7158,"InChI=1S/C9H7Cl3O3/c1-4(9(13)14)15-8-3-6(11)5(10)2-7(8)12/h2-4H,1H3,(H,13,14)",ZLSWBLPERHFHIS-UHFFFAOYSA-N,CC(Oc1cc(Cl)c(Cl)cc1Cl)C(=O)O
23,"2,4-D, DIMETHYLAMINE",2008-39-1,23.0,HSDB,23.0,16180,"InChI=1S/C8H6Cl2O3.C2H7N/c9-5-1-2-7(6(10)3-5)13-4-8(11)12;1-3-2/h1-3H,4H2,(H,11,12);3H,1-2H3",IUQJDHJVPLLKFL-UHFFFAOYSA-N,CNC.O=C(O)COc1ccc(Cl)cc1Cl
24,"2,4-Dinitrophenol",1326-82-5|25550-58-7|51-28-5,32.1,HSDB,24.0,1493,"InChI=1S/C6H4N2O5/c9-6-2-1-4(7(10)11)3-5(6)8(12)13/h1-3,9H",UFBJCMHMOXMLKC-UHFFFAOYSA-N,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1
25,"2,5-DICHLOROANILINE",95-82-9,56.0,HSDB,25.0,7262,"InChI=1S/C6H5Cl2N/c7-4-1-2-5(8)6(9)3-4/h1-3H,9H2",AVYGCQXNNJPXSS-UHFFFAOYSA-N,Nc1cc(Cl)ccc1Cl
26,"2,5-DICHLOROPHENOL",583-78-8,18.0,HSDB,26.0,66,"InChI=1S/C6H4Cl2O/c7-4-1-2-5(8)6(9)3-4/h1-3,9H",RANCECPPZPIPNO-UHFFFAOYSA-N,Oc1cc(Cl)ccc1Cl
27,"2,6-DINITROTOLUENE",606-20-2,92.0,HSDB,27.0,11813,"InChI=1S/C7H6N2O4/c1-5-6(8(10)11)3-2-4-7(5)9(12)13/h2-4H,1H3",XTRDKALNCIHHNI-UHFFFAOYSA-N,Cc1c([N+](=O)[O-])cccc1[N+](=O)[O-]
28,"2,6-LUTIDINE",108-48-5|27175-64-0,30.0,HSDB,28.0,7937,"InChI=1S/C7H9N/c1-6-4-3-5-7(2)8-6/h3-5H,1-2H3",OISVCGZHLKNMSJ-UHFFFAOYSA-N,Cc1cccc(C)n1
29,2-CHLORONAPHTHALENE,51569-12-1|91-58-7,79.0,HSDB,29.0,7056,InChI=1S/C10H7Cl/c11-10-6-5-8-3-1-2-4-9(8)7-10/h1-7H,CGYGETOMCSJHJU-UHFFFAOYSA-N,Clc1ccc2ccccc2c1
30,2-CHLOROPHENOL,25167-80-0|95-57-8,110.0,HSDB,30.0,7245,"InChI=1S/C6H5ClO/c7-5-3-1-2-4-6(5)8/h1-4,8H",ISPYQTSUDJAMAB-UHFFFAOYSA-N,Oc1ccccc1Cl
31,2-MERCAPTOBENZOTHIAZOLE,118090-09-8|149-30-4,248.0,HSDB,31.0,697993,"InChI=1S/C7H5NS2/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)",YXIWHUQXZSMYRE-UHFFFAOYSA-N,Sc1nc2ccccc2s1
32,2-METHYL-4-CHLOROPHENOXYACETIC ACID,94-74-6,60.0,HSDB,32.0,7204,"InChI=1S/C9H9ClO3/c1-6-4-7(10)2-3-8(6)13-5-9(11)12/h2-4H,5H2,1H3,(H,11,12)",WHKUVVPPKQRRBV-UHFFFAOYSA-N,Cc1cc(Cl)ccc1OCC(=O)O
33,"3,4-DICHLOROPHENOL",95-77-2,18.0,HSDB,33.0,7258,"InChI=1S/C6H4Cl2O/c7-5-2-1-4(9)3-6(5)8/h1-3,9H",WDNBURPWRNALGP-UHFFFAOYSA-N,Oc1ccc(Cl)c(Cl)c1
34,"3,5-DIMETHYLPHENOL",108-68-9,310.0,HSDB,34.0,7948,"InChI=1S/C8H10O/c1-6-3-7(2)5-8(9)4-6/h3-5,9H,1-2H3",TUAMRELNJMMDMT-UHFFFAOYSA-N,Cc1cc(C)cc(O)c1
35,"3,5-XYLYL METHYLCARBAMATE",2655-14-3,750.0,HSDB,35.0,17563,"InChI=1S/C10H13NO2/c1-7-4-8(2)6-9(5-7)13-10(12)11-3/h4-6H,1-3H3,(H,11,12)",CVQODEWAPZVVBU-UHFFFAOYSA-N,CN=C(O)Oc1cc(C)cc(C)c1
36,3-BROMO-1-PROPYNE,106-96-7,12.0,HSDB,36.0,7842,"InChI=1S/C3H3Br/c1-2-3-4/h1H,3H2",YORCIIVHUBAYBQ-UHFFFAOYSA-N,C#CCBr
37,3-CHLOROPHENOL,108-43-0,160.0,HSDB,37.0,7933,"InChI=1S/C6H5ClO/c7-5-2-1-3-6(8)4-5/h1-4,8H",HORNXRXVQWOLPJ-UHFFFAOYSA-N,Oc1cccc(Cl)c1
38,3-Chloro-p-toluidine,827571-80-2|95-74-9,1.04,HSDB,38.0,7255,"InChI=1S/C7H8ClN/c1-5-2-3-6(9)4-7(5)8/h2-4H,9H2,1H3",RQKFYFNZSHWXAW-UHFFFAOYSA-N,Cc1ccc(N)cc1Cl
39,3-IODO-2-PROPYNYL BUTYLCARBAMATE,1246815-08-6|55406-53-6|85045-09-6,0.08875,HSDB,39.0,62097,"InChI=1S/C8H12INO2/c1-2-3-6-10-8(11)12-7-4-5-9/h2-3,6-7H2,1H3,(H,10,11)",WYVVKGNFXHOCQV-UHFFFAOYSA-N,CCCCN=C(O)OCC#CI
40,3-METHYL-4-CHLOROPHENOL,59-50-7,21.0,HSDB,40.0,1732,"InChI=1S/C7H7ClO/c1-5-4-6(9)2-3-7(5)8/h2-4,9H,1H3",CFKMVGJGLGKFKI-UHFFFAOYSA-N,Cc1cc(O)ccc1Cl
41,3-METHYL-6-CHLOROPHENOL,615-74-7,2.1,HSDB,41.0,12008,"InChI=1S/C7H7ClO/c1-5-2-3-6(8)7(9)4-5/h2-4,9H,1H3",SMFHPCZZAAMJJO-UHFFFAOYSA-N,Cc1ccc(Cl)c(O)c1
42,4-AMINOPYRIDINE,504-24-5,960.0,HSDB,42.0,1727,"InChI=1S/C5H6N2/c6-5-1-3-7-4-2-5/h1-4H,(H2,6,7)",NUKYPUAOHBNCPY-UHFFFAOYSA-N,N=c1cc[nH]cc1
43,4-BROMOPHENOL,106-41-2,18.4,HSDB,43.0,7808,"InChI=1S/C6H5BrO/c7-5-1-3-6(8)4-2-5/h1-4,8H",GZFGOTFRPZRKDS-UHFFFAOYSA-N,Oc1ccc(Br)cc1
44,4-CHLORO-2-METHYLPHENOL,1570-64-5,21.0,HSDB,44.0,14855,"InChI=1S/C7H7ClO/c1-5-4-6(8)2-3-7(5)9/h2-4,9H,1H3",RHPUJHQBPORFGV-UHFFFAOYSA-N,Cc1cc(Cl)ccc1O
45,"4-METHYL-2,6-DINITROPHENOL",609-93-8,15.0,HSDB,45.0,11872,"InChI=1S/C7H6N2O5/c1-4-2-5(8(11)12)7(10)6(3-4)9(13)14/h2-3,10H,1H3",HOYRZHJJAHRMLL-UHFFFAOYSA-N,Cc1cc([N+](=O)[O-])c(O)c([N+](=O)[O-])c1
46,4-Nonylphenol,104-40-5,1.4,HSDB,46.0,1752,"InChI=1S/C15H24O/c1-2-3-4-5-6-7-8-9-14-10-12-15(16)13-11-14/h10-13,16H,2-9H2,1H3",IGFHQQFPSIBGKE-UHFFFAOYSA-N,CCCCCCCCCc1ccc(O)cc1
